"Cruise","Ship","OrderOcc","TowType","TowNumber","SpeciesCode","Size","Count","Lat","Lon","Line","Station","SpeciesName","Year","Month","line.station","dumpsite","ID_internal"
1,"NH",9,"CB",1,292,27.1,1,31.84667,-119.57,93.3,60,"Stenobrachius leucopsarus",2000,"01","93.3 60",0,1
1,"NH",9,"CB",1,292,40,1,31.84667,-119.57,93.3,60,"Stenobrachius leucopsarus",2000,"01","93.3 60",0,2
1,"NH",9,"CB",1,301,23.4,1,31.84667,-119.57,93.3,60,"Triphoturus mexicanus",2000,"01","93.3 60",0,3
1,"NH",9,"CB",1,301,25.1,1,31.84667,-119.57,93.3,60,"Triphoturus mexicanus",2000,"01","93.3 60",0,4
1,"NH",20,"CB",1,301,21.7,1,31.745,-121.316667,90,80,"Triphoturus mexicanus",2000,"01","90 80",0,5
1,"NH",23,"CB",1,301,20.4,1,32.65,-119.481667,90,53,"Triphoturus mexicanus",2000,"01","90 53",0,6
1,"NH",24,"CB",1,292,37.4,1,32.915,-118.931667,90,45,"Stenobrachius leucopsarus",2000,"01","90 45",0,7
1,"NH",35,"CB",1,292,31.7,1,32.99,-120.346667,86.7,60,"Stenobrachius leucopsarus",2000,"01","86.7 60",0,8
1,"NH",47,"CB",1,292,40,1,33.745,-120.418333,83.3,55,"Stenobrachius leucopsarus",2000,"01","83.3 55",0,9
1,"NH",51,"CB",1,292,29.1,1,34.27333,-120.023333,81.8,46.9,"Stenobrachius leucopsarus",2000,"01","81.8 46.9",0,10
1,"NH",56,"CB",1,292,31.5,1,33.485,-122.526667,80,80,"Stenobrachius leucopsarus",2000,"01","80 80",0,11
1,"NH",56,"CB",1,292,38.5,1,33.485,-122.526667,80,80,"Stenobrachius leucopsarus",2000,"01","80 80",0,12
4,"JD",3,"CB",1,301,26.2,1,32.84667,-117.531667,93.3,30,"Triphoturus mexicanus",2000,"04","93.3 30",0,13
4,"JD",3,"CB",1,301,28.3,1,32.84667,-117.531667,93.3,30,"Triphoturus mexicanus",2000,"04","93.3 30",0,14
4,"JD",7,"CB",1,301,21.8,1,32.18167,-118.888333,93.3,50,"Triphoturus mexicanus",2000,"04","93.3 50",0,15
4,"JD",9,"CB",1,301,21.4,1,31.84667,-119.566667,93.3,60,"Triphoturus mexicanus",2000,"04","93.3 60",0,16
4,"JD",9,"CB",1,301,27.4,1,31.84667,-119.566667,93.3,60,"Triphoturus mexicanus",2000,"04","93.3 60",0,17
