UID,Cruise,Ship,OrderOcc,TowType,TowNumber,SpeciesCode,SpeciesName,ITISTSN,Size,Count,Datetime,Lat,Lon,Line,Station,family,weight,nearest.CalCOFI.site,line.station,year,month,distance.from.dumpsite,estimated.depth.nearest.CalCOFI.site,Type,ENSO.general,mean.temp.top.210,mean.salinity.top.210
1,197801,JD,15,CB,1,301,Triphoturus mexicanus,162766,17.3,1,1978-01-14 02:40:00 -08:00,31.167,-120.908,93.3,80,Myctophidae,0.06,93.3 80,93.3 80,1978,1,361,3848,WE,El.Nino,12.28,33.41
2,197801,JD,20,CB,1,301,Triphoturus mexicanus,162766,19.9,1,1978-01-15 01:50:00 -08:00,32.333,-118.533,93.3,45,Myctophidae,0.1,93.3 45,93.3 45,1978,1,147,1376,WE,El.Nino,NA,NA
3,197801,JD,44,CB,1,292,Stenobrachius leucopsarus,162664,23.5,1,1978-01-19 17:00:00 -08:00,32.658,-121.033,86.7,70,Myctophidae,0.15,86.7 70,86.7 70,1978,1,283,3771,WE,El.Nino,10.8,33.6
4,197801,JD,46,CB,1,260,Nannobrachium ritteri,623745,71,1,1978-01-20 03:50:00 -08:00,33.167,-120,86.7,55,Myctophidae,3.64,86.7 55,86.7 55,1978,1,166,1201,WE,El.Nino,NA,NA
5,197801,JD,67,CB,1,260,Nannobrachium ritteri,623745,38,1,1978-01-23 22:50:00 -08:00,33.8,-121.85,80,70,Myctophidae,0.61,80 70,80 70,1978,1,320,3631,WE,El.Nino,11.09,33.38
6,197803,JD,21,CB,1,301,Triphoturus mexicanus,162766,24,1,1978-02-22 18:00:00 -08:00,32.5,-118.192,93.3,40,Myctophidae,0.16,93.3 40,93.3 40,1978,2,129,1627,WE,El.Nino,11.46,33.64
7,197803,JD,22,CB,1,260,Nannobrachium ritteri,623745,27,1,1978-02-22 22:45:00 -08:00,32.675,-117.858,93.3,35,Myctophidae,0.23,93.3 35,93.3 35,1978,2,122,616,WE,El.Nino,NA,NA
8,197803,JD,23,CB,1,260,Nannobrachium ritteri,623745,33.4,1,1978-02-23 02:00:00 -08:00,32.842,-117.517,93.3,30,Myctophidae,0.42,93.3 30,93.3 30,1978,2,127,846,WE,El.Nino,11.66,33.72
9,197803,JD,23,CB,1,301,Triphoturus mexicanus,162766,21.5,1,1978-02-23 02:00:00 -08:00,32.842,-117.517,93.3,30,Myctophidae,0.12,93.3 30,93.3 30,1978,2,127,846,WE,El.Nino,11.66,33.72
10,197803,JD,29,CB,1,292,Stenobrachius leucopsarus,162664,23.3,1,1978-02-24 18:30:00 -08:00,33.475,-117.778,90,28,Myctophidae,0.15,90 28,90 28,1978,2,70,63,WE,El.Nino,NA,NA
11,197803,JD,40,CB,1,260,Nannobrachium ritteri,623745,27,1,1978-02-26 20:25:00 -08:00,31.4,-122.022,90,90,Myctophidae,0.23,90 90,90 90,1978,2,434,3879,WE,El.Nino,11.7,33.32
12,197803,JD,56,CB,1,260,Nannobrachium ritteri,623745,43,1,1978-03-03 00:15:00 -08:00,33.5,-119.317,86.7,45,Myctophidae,0.87,86.7 45,86.7 45,1978,3,84,1644,WE,El.Nino,10.78,33.77
13,197803,JD,62,CB,1,260,Nannobrachium ritteri,623745,38,1,1978-03-04 02:00:00 -08:00,33.567,-120.75,83.3,60,Myctophidae,0.61,83.3 60,83.3 60,1978,3,214,1397,WE,El.Nino,11.11,33.58
14,197803,JD,64,CB,1,301,Triphoturus mexicanus,162766,31,1,1978-03-04 17:00:00 -08:00,32.9,-122.133,83.3,80,Myctophidae,0.34,83.3 80,83.3 80,1978,3,376,4180,WE,El.Nino,11.08,33.4
15,197803,JD,68,CB,1,260,Nannobrachium ritteri,623745,19.8,1,1978-03-05 19:00:00 -08:00,33.808,-121.85,80,70,Myctophidae,0.09,80 70,80 70,1978,3,320,3631,WE,El.Nino,10.61,33.51
16,197803,JD,69,CB,1,292,Stenobrachius leucopsarus,162664,28,1,1978-03-06 01:00:00 -08:00,34.15,-121.15,80,60,Myctophidae,0.25,80 60,80 60,1978,3,273,2204,WE,El.Nino,10.96,33.47
17,197804,JD,60,CB,1,301,Triphoturus mexicanus,162766,21.6,1,1978-04-11 21:00:00 -08:00,33,-120.358,86.7,60,Myctophidae,0.12,86.7 60,86.7 60,1978,4,204,722,WE,El.Nino,NA,NA
