"Cruise","Ship","OrderOcc","TowType","TowNumber","SpeciesCode","Count","Lat","Lon","Line","Station","SpeciesName","Year","Month","CalCOFI"
1,"NH",3,"CB",1,292,2,32.84833,-117.528333,93.3,30,"Stenobrachius leucopsarus",2000,"1",1
1,"NH",3,"CB",1,301,2,32.84833,-117.528333,93.3,30,"Triphoturus mexicanus",2000,"1",1
1,"NH",4,"CB",1,260,1,32.68,-117.873333,93.3,35,"Nannobrachium ritteri",2000,"1",1
1,"NH",5,"CB",1,227,1,32.51333,-118.21,93.3,40,"Diaphus theta",2000,"1",1
1,"NH",5,"CB",1,260,4,32.51333,-118.21,93.3,40,"Nannobrachium ritteri",2000,"1",1
1,"NH",8,"CB",1,70,1,32.00667,-119.235,93.3,55,"Bathylagus",2000,"1",1
1,"NH",8,"CB",1,1259,1,32.00667,-119.235,93.3,55,"Lampanyctus",2000,"1",1
1,"NH",9,"CB",1,292,2,31.84667,-119.57,93.3,60,"Stenobrachius leucopsarus",2000,"1",1
1,"NH",9,"CB",1,301,2,31.84667,-119.57,93.3,60,"Triphoturus mexicanus",2000,"1",1
1,"NH",10,"CB",1,239,1,31.51667,-120.248333,93.3,70,"Diogenichthys atlanticus",2000,"1",1
1,"NH",13,"CB",1,93,1,30.51333,-122.255,93.3,100,"Vinciguerria lucetia",2000,"1",1
1,"NH",13,"CB",1,281,2,30.51333,-122.255,93.3,100,"Notolychnus valdiviae",2000,"1",1
1,"NH",16,"CB",1,91,1,30.41667,-123.995,90,120,"Valenciennellus tripunctulatus",2000,"1",1
1,"NH",19,"CB",1,365,1,31.415,-121.988333,90,90,"Nemichthys scolopaceus",2000,"1",1
1,"NH",20,"CB",1,260,2,31.745,-121.316667,90,80,"Nannobrachium ritteri",2000,"1",1
1,"NH",20,"CB",1,301,1,31.745,-121.316667,90,80,"Triphoturus mexicanus",2000,"1",1
1,"NH",23,"CB",1,260,1,32.65,-119.481667,90,53,"Nannobrachium ritteri",2000,"1",1
1,"NH",23,"CB",1,296,1,32.65,-119.481667,90,53,"Symbolophorus californiensis",2000,"1",1
