"Cruise","Ship","OrderOcc","TowType","TowNumber","SpeciesCode","Size","Count","Lat","Lon","Line","Station","SpeciesName","Year","Month","CalCOFI"
1,"NH",4,"CB",1,260,44.3,1,32.68,-117.873333,93.3,35,"Nannobrachium ritteri",2000,"1",1
1,"NH",5,"CB",1,227,18.6,1,32.51333,-118.21,93.3,40,"Diaphus theta",2000,"1",1
1,"NH",5,"CB",1,260,19.4,1,32.51333,-118.21,93.3,40,"Nannobrachium ritteri",2000,"1",1
1,"NH",5,"CB",1,260,28.9,1,32.51333,-118.21,93.3,40,"Nannobrachium ritteri",2000,"1",1
1,"NH",5,"CB",1,260,31,1,32.51333,-118.21,93.3,40,"Nannobrachium ritteri",2000,"1",1
1,"NH",5,"CB",1,260,43,1,32.51333,-118.21,93.3,40,"Nannobrachium ritteri",2000,"1",1
1,"NH",8,"CB",1,1259,28.2,1,32.00667,-119.235,93.3,55,"Lampanyctus",2000,"1",1
1,"NH",9,"CB",1,292,27.1,1,31.84667,-119.57,93.3,60,"Stenobrachius leucopsarus",2000,"1",1
1,"NH",9,"CB",1,292,40,1,31.84667,-119.57,93.3,60,"Stenobrachius leucopsarus",2000,"1",1
1,"NH",9,"CB",1,301,23.4,1,31.84667,-119.57,93.3,60,"Triphoturus mexicanus",2000,"1",1
1,"NH",9,"CB",1,301,25.1,1,31.84667,-119.57,93.3,60,"Triphoturus mexicanus",2000,"1",1
1,"NH",10,"CB",1,239,17.4,1,31.51667,-120.248333,93.3,70,"Diogenichthys atlanticus",2000,"1",1
1,"NH",13,"CB",1,93,24.9,1,30.51333,-122.255,93.3,100,"Vinciguerria lucetia",2000,"1",1
1,"NH",13,"CB",1,281,11,1,30.51333,-122.255,93.3,100,"Notolychnus valdiviae",2000,"1",1
1,"NH",13,"CB",1,281,16.8,1,30.51333,-122.255,93.3,100,"Notolychnus valdiviae",2000,"1",1
1,"NH",16,"CB",1,91,27.2,1,30.41667,-123.995,90,120,"Valenciennellus tripunctulatus",2000,"1",1
1,"NH",19,"CB",1,365,390,1,31.415,-121.988333,90,90,"Nemichthys scolopaceus",2000,"1",1
1,"NH",20,"CB",1,260,27.4,1,31.745,-121.316667,90,80,"Nannobrachium ritteri",2000,"1",1
1,"NH",20,"CB",1,260,28.4,1,31.745,-121.316667,90,80,"Nannobrachium ritteri",2000,"1",1
1,"NH",20,"CB",1,301,21.7,1,31.745,-121.316667,90,80,"Triphoturus mexicanus",2000,"1",1
1,"NH",23,"CB",1,260,23.6,1,32.65,-119.481667,90,53,"Nannobrachium ritteri",2000,"1",1
1,"NH",23,"CB",1,296,50.8,1,32.65,-119.481667,90,53,"Symbolophorus californiensis",2000,"1",1
1,"NH",23,"CB",1,301,20.4,1,32.65,-119.481667,90,53,"Triphoturus mexicanus",2000,"1",1
1,"NH",24,"CB",1,292,37.4,1,32.915,-118.931667,90,45,"Stenobrachius leucopsarus",2000,"1",1
1,"NH",34,"CB",1,227,28,1,33.155,-120.006667,86.7,55,"Diaphus theta",2000,"1",1
1,"NH",34,"CB",1,260,37.7,1,33.155,-120.006667,86.7,55,"Nannobrachium ritteri",2000,"1",1
1,"NH",35,"CB",1,292,31.7,1,32.99,-120.346667,86.7,60,"Stenobrachius leucopsarus",2000,"1",1
1,"NH",36,"CB",1,105,34.4,1,32.66,-121.026667,86.7,70,"Argyropelecus sladeni",2000,"1",1
1,"NH",42,"CB",1,260,29,1,32.245,-123.493333,83.3,100,"Nannobrachium ritteri",2000,"1",1
1,"NH",42,"CB",1,260,35.5,1,32.245,-123.493333,83.3,100,"Nannobrachium ritteri",2000,"1",1
1,"NH",46,"CB",1,227,29.4,1,33.57833,-120.74,83.3,60,"Diaphus theta",2000,"1",1
1,"NH",47,"CB",1,227,24.9,1,33.745,-120.418333,83.3,55,"Diaphus theta",2000,"1",1
1,"NH",47,"CB",1,292,40,1,33.745,-120.418333,83.3,55,"Stenobrachius leucopsarus",2000,"1",1
1,"NH",51,"CB",1,292,29.1,1,34.27333,-120.023333,81.8,46.9,"Stenobrachius leucopsarus",2000,"1",1
1,"NH",55,"CB",1,227,29.9,1,33.81667,-121.845,80,70,"Diaphus theta",2000,"1",1
1,"NH",56,"CB",1,227,27.6,1,33.485,-122.526667,80,80,"Diaphus theta",2000,"1",1
1,"NH",56,"CB",1,292,31.5,1,33.485,-122.526667,80,80,"Stenobrachius leucopsarus",2000,"1",1
