Cruise,Ship,OrderOcc,TowType,TowNumber,SpeciesCode,Count,Lat,Lon,Line,Station,SpeciesName,Year,size_approx,est_size,notes
5307,CR,55,C1,1,292,1,33.40833,-117.916667,90,30,Stenobrachius leucopsarus,1953,large,65,
7511,JD,12,C1,1,292,1,33.195,-117.566667,91.5,28,Stenobrachius leucopsarus,1975,larval,20,
7511,JD,38,C1,1,292,2,33.81667,-118.666667,86.7,36,Stenobrachius leucopsarus,1975,larval,20,
7511,JD,63,C1,1,292,1,33.56667,-120.75,83.3,60,Stenobrachius leucopsarus,1975,larval,20,
7511,JD,93,C1,1,292,2,33.47,-122.528333,80,80,Stenobrachius leucopsarus,1975,larval,20,
7512,JD,3,C1,1,292,3,32.91167,-117.363333,93.3,28,Stenobrachius leucopsarus,1975,larval,20,
7512,JD,16,C1,1,292,1,33.34167,-118.055,90,32,Stenobrachius leucopsarus,1975,larval,20,
7512,JD,27,C1,1,292,2,33.80833,-118.666667,86.7,36,Stenobrachius leucopsarus,1975,larval,20,
7512,JD,32,C1,1,292,1,33,-120.358333,86.7,60,Stenobrachius leucopsarus,1975,larval,20,
7512,JD,34,C1,1,292,1,33.73333,-120.408333,83.3,55,Stenobrachius leucopsarus,1975,larval,20,
8012,NH,5,CB,1,292,1,33.73833,-120.396667,83.3,55,Stenobrachius leucopsarus,1980,larval,20,
8012,JD,22,CB,1,292,1,32.84667,-117.531667,93.3,30,Stenobrachius leucopsarus,1980,larval,20,
8012,JD,24,CB,1,292,1,32.51333,-118.213333,93.3,40,Stenobrachius leucopsarus,1980,larval,20,
8104,JD,448,CB,1,292,1,33.81667,-121.843333,80,70,Stenobrachius leucopsarus,1981,larval,20,
8105,NH,19,CB,1,292,1,34.23333,-119.406667,83.3,40.6,Stenobrachius leucopsarus,1981,larval,20,
8401,NH,8,CB,1,292,1,32.65,-119.485,90,53,Stenobrachius leucopsarus,1984,larval,20,
8401,JD,16,CB,1,292,1,33.57833,-120.755,83.3,60,Stenobrachius leucopsarus,1984,larval,20,
8410,JD,7,CB,1,292,1,32.99,-120.35,86.7,60,Stenobrachius leucopsarus,1984,larval,20,
7501,JD,65,C1,1,292,1,32.91167,-117.366667,93.3,28,Stenobrachius leucopsarus,1975,medium,50,
7804,JD,72,CB,1,292,1,34.15,-121.166667,80,60,Stenobrachius leucopsarus,1978,medium,50,
8105,NH,22,CB,1,292,2,34.31167,-120.8,80,55,Stenobrachius leucopsarus,1981,medium,50,
8404,NH,19,CB,1,292,1,32.17667,-118.891667,93.3,50,Stenobrachius leucopsarus,1984,medium,50,
4004,ES,52,C2,1,292,1,33.91667,-119.225,85,40.8,Stenobrachius leucopsarus,1940,NA,NA,Pretty sure these have been removed from the collection 
5205,ES,3,C1,1,292,2,32.67,-117.875,93.3,35,Stenobrachius leucopsarus,1952,NA,NA,Pretty sure these have been removed from the collection 
5206,YE,4,C1,1,292,2,33.33333,-119.658333,86.7,50,Stenobrachius leucopsarus,1952,NA,NA,Pretty sure these have been removed from the collection 
5206,YE,22,C1,1,292,1,32.66667,-117.866667,93.3,35,Stenobrachius leucopsarus,1952,NA,NA,Pretty sure these have been removed from the collection 
5207,SB,54,C1,1,292,1,32.28333,-122.616667,85,90,Stenobrachius leucopsarus,1952,NA,NA,Pretty sure these have been removed from the collection 
5304,HO,2,C1,1,292,1,33.42333,-117.923333,90,30,Stenobrachius leucopsarus,1953,NA,NA,Pretty sure these have been removed from the collection 
5305,PT,71,C1,1,292,1,33.98833,-119.923333,83.3,48,Stenobrachius leucopsarus,1953,NA,NA,Pretty sure these have been removed from the collection 
5305,PT,75,C1,1,292,1,33.03,-120.3,86.7,60,Stenobrachius leucopsarus,1953,NA,NA,Pretty sure these have been removed from the collection 
5306,PT,8,C1,1,292,1,31.76667,-119.3,93.3,60,Stenobrachius leucopsarus,1953,NA,NA,Pretty sure these have been removed from the collection 
5307,CR,56,C1,1,292,1,33.475,-117.775,90,28,Stenobrachius leucopsarus,1953,NA,NA,Pretty sure these have been removed from the collection 
5307,CR,42,C1,1,292,1,33.95,-119.175,85,40,Stenobrachius leucopsarus,1953,NA,NA,Pretty sure these have been removed from the collection 
5307,HO,63,C1,1,292,1,32.49167,-118.22,93.3,40,Stenobrachius leucopsarus,1953,NA,NA,Pretty sure these have been removed from the collection 
5308,CR,58,C1,1,292,1,32.41667,-119.958333,90,60,Stenobrachius leucopsarus,1953,NA,NA,Pretty sure these have been removed from the collection 
5309,CR,7,C1,1,292,1,33.73333,-120.408333,83.3,55,Stenobrachius leucopsarus,1953,NA,NA,Pretty sure these have been removed from the collection 
5311,PT,18,C1,1,292,2,33.16667,-120.008333,86.7,55,Stenobrachius leucopsarus,1953,NA,NA,Pretty sure these have been removed from the collection 
5312,CR,15,C1,1,292,1,33.49167,-119.3,86.7,45,Stenobrachius leucopsarus,1953,NA,NA,Pretty sure these have been removed from the collection 
5406,HO,61,C1,1,292,1,33.13333,-119.995,86.7,55,Stenobrachius leucopsarus,1954,NA,NA,Pretty sure these have been removed from the collection 
5407,CR,24,C1,1,292,1,33.48333,-122.533333,80,80,Stenobrachius leucopsarus,1954,NA,NA,Pretty sure these have been removed from the collection 
