Cruise,Ship,OrderOcc,TowType,TowNumber,SpeciesCode,Size,Count,Lat,Lon,Line,Station,SpeciesName,Year,Month,line.station,ID_internal,Notes
8901,JD,37,CB,1,292,56.5,1,33.15667,-120.006667,86.7,55,Stenobrachius leucopsarus,1989,1,86.7 55,2843,
8904,JD,34,CB,1,292,47.5,1,33.15667,-120.006667,86.7,55,Stenobrachius leucopsarus,1989,4,86.7 55,2858,
8904,JD,34,CB,1,292,57,1,33.15667,-120.006667,86.7,55,Stenobrachius leucopsarus,1989,4,86.7 55,2859,
9003,JD,45,CB,1,292,62,1,33.745,-120.41,83.3,55,Stenobrachius leucopsarus,1990,3,83.3 55,2881,
9004,JD,31,CB,1,292,59.3,1,33.82333,-118.628333,86.7,35,Stenobrachius leucopsarus,1990,4,86.7 35,2897,
9004,JD,32,CB,1,292,55.5,1,33.65667,-118.981667,86.7,40,Stenobrachius leucopsarus,1990,4,86.7 40,2898,
9004,JD,44,CB,1,292,57.7,1,33.745,-120.41,83.3,55,Stenobrachius leucopsarus,1990,4,83.3 55,2899,
9008,NH,30,CB,1,292,50,1,33.82333,-118.628333,86.7,35,Stenobrachius leucopsarus,1990,8,86.7 35,2904,
9108,JD,31,CB,1,292,59.5,1,33.82333,-118.628333,86.7,35,Stenobrachius leucopsarus,1991,8,86.7 35,2968,
9108,JD,52,CB,1,292,50,1,33.745,-120.41,83.3,55,Stenobrachius leucopsarus,1991,8,83.3 55,2984,
9108,JD,52,CB,1,292,50.5,1,33.745,-120.41,83.3,55,Stenobrachius leucopsarus,1991,8,83.3 55,2985,
9108,JD,52,CB,1,292,56.5,1,33.745,-120.41,83.3,55,Stenobrachius leucopsarus,1991,8,83.3 55,2986,
9108,JD,52,CB,1,292,62,1,33.745,-120.41,83.3,55,Stenobrachius leucopsarus,1991,8,83.3 55,2987,
9110,NH,34,CB,1,292,50.6,1,33.68167,-118.935,86.7,39.5,Stenobrachius leucopsarus,1991,10,86.7 39.5,3006,
9304,JD,30,CB,1,292,64.5,1,33.82333,-118.63,86.7,35,Stenobrachius leucopsarus,1993,4,86.7 35,3084,
9510,NH,30,CB,1,292,54,1,33.82333,-118.626667,86.7,35,Stenobrachius leucopsarus,1995,10,86.7 35,3223,
9510,NH,30,CB,1,292,57.3,1,33.82333,-118.626667,86.7,35,Stenobrachius leucopsarus,1995,10,86.7 35,3224,
9510,NH,30,CB,1,292,68.1,1,33.82333,-118.626667,86.7,35,Stenobrachius leucopsarus,1995,10,86.7 35,3225,
106,JD,9,M2,4,292,59.5,1,33.15333,-118.655,89.6,40.2,Stenobrachius leucopsarus,2001,6,89.6 40.2,245,
106,JD,9,M2,4,292,59.7,1,33.15333,-118.655,89.6,40.2,Stenobrachius leucopsarus,2001,6,89.6 40.2,246,
106,JD,9,M2,4,292,59.8,1,33.15333,-118.655,89.6,40.2,Stenobrachius leucopsarus,2001,6,89.6 40.2,247,
106,JD,9,M2,4,292,60,1,33.15333,-118.655,89.6,40.2,Stenobrachius leucopsarus,2001,6,89.6 40.2,248,
106,JD,9,M2,4,292,60.3,1,33.15333,-118.655,89.6,40.2,Stenobrachius leucopsarus,2001,6,89.6 40.2,249,
106,JD,9,M2,4,292,60.7,1,33.15333,-118.655,89.6,40.2,Stenobrachius leucopsarus,2001,6,89.6 40.2,250,
106,JD,9,M2,4,292,61.2,1,33.15333,-118.655,89.6,40.2,Stenobrachius leucopsarus,2001,6,89.6 40.2,251,
106,JD,9,M2,4,292,61.5,1,33.15333,-118.655,89.6,40.2,Stenobrachius leucopsarus,2001,6,89.6 40.2,252,
106,JD,9,M2,4,292,67.1,1,33.15333,-118.655,89.6,40.2,Stenobrachius leucopsarus,2001,6,89.6 40.2,253,
106,JD,9,M2,4,292,78.8,1,33.15333,-118.655,89.6,40.2,Stenobrachius leucopsarus,2001,6,89.6 40.2,254,
106,JD,32,M2,3,292,41.6,1,33.56167,-118.586667,87.9,36.4,Stenobrachius leucopsarus,2001,6,87.9 36.4,691,
106,JD,32,M2,3,292,46.7,1,33.56167,-118.586667,87.9,36.4,Stenobrachius leucopsarus,2001,6,87.9 36.4,692,
106,JD,32,M2,3,292,46.9,1,33.56167,-118.586667,87.9,36.4,Stenobrachius leucopsarus,2001,6,87.9 36.4,693,
106,JD,32,M2,3,292,52.6,1,33.56167,-118.586667,87.9,36.4,Stenobrachius leucopsarus,2001,6,87.9 36.4,694,
106,JD,32,M2,3,292,56.1,1,33.56167,-118.586667,87.9,36.4,Stenobrachius leucopsarus,2001,6,87.9 36.4,695,
106,JD,32,M2,3,292,58.2,1,33.56167,-118.586667,87.9,36.4,Stenobrachius leucopsarus,2001,6,87.9 36.4,696,
106,JD,32,M2,4,292,60,1,33.56167,-118.586667,87.9,36.4,Stenobrachius leucopsarus,2001,6,87.9 36.4,703,
106,JD,32,M2,4,292,61.6,1,33.56167,-118.586667,87.9,36.4,Stenobrachius leucopsarus,2001,6,87.9 36.4,704,
106,JD,32,M2,4,292,62,1,33.56167,-118.586667,87.9,36.4,Stenobrachius leucopsarus,2001,6,87.9 36.4,705,
106,JD,32,M2,4,292,63.1,1,33.56167,-118.586667,87.9,36.4,Stenobrachius leucopsarus,2001,6,87.9 36.4,706,
106,JD,32,M2,4,292,64,1,33.56167,-118.586667,87.9,36.4,Stenobrachius leucopsarus,2001,6,87.9 36.4,707,
106,JD,33,M2,4,292,44.8,1,33.48833,-118.296667,88.9,33.8,Stenobrachius leucopsarus,2001,6,88.9 33.8,736,
106,JD,33,M2,4,292,44.9,1,33.48833,-118.296667,88.9,33.8,Stenobrachius leucopsarus,2001,6,88.9 33.8,737,
