Summary_num,Macgregor_num_SL,new_line,new_station,Line,Station,Sta,Latitude,Longitude,Date,Year,Length (mm),WW (g),DW (g),Lipid (g),ppDDE_ppm_ww,opDDD_ppm_ww,opDDT_ppm_ww,ppDDD_ppm_ww,ppDDT_ppm_ww,tDDT_ppm_ww,A1254,Remove,NOTES,
519,1,86.51398,74.41636,,DSJ,,325412,1172348,700603,1970,44,0.7158,0.2511,0.1351,0.485,0.033,0.177,0.053,0.06,0.808,0.458,0,,
520,2,86.51398,74.41636,,DSJ,,325412,1172348,700603,1970,41,0.589,0.2102,0.1106,0.698,0.016,0.071,0.088,0.219,1.092,0.086,0,,
266,3,86.7,35,87,35,87.35,334615,1183539,510803,1951,48,1.1524,0.3948,0.1859,0.043,0,0.337,0.068,0.367,0.815,2.339,0,,
276,4,86.7,35,87,35,87.35,334615,1183539,550200,1955,49,1.2362,0.3815,0.1985,0.421,0.018,0.113,0.093,0.386,1.031,0.069,0,,
290,5,86.7,40,87,40,87.4,333615,1185622,570300,1957,54,1.4336,0.4479,0.2287,0.946,0.038,0.22,0.217,0.841,2.262,0,0,,
491,6,,,Pt. Dume II (502B),,,,,400516,1940,43,0.671,0.229,0.0825,0,0,0,0,0,0,0,0,,
372,7,90,45,90,45,90.45,325504,1185607,641009,1964,29,0.2398,0.0595,0.03,0.104,0,0.022,0.015,0.059,0.2,0.172,0,,
358,8,90,40,90,40,90.4,330504,1183534,620828,1962,42,0.7224,0.2909,0.1277,0.878,0.172,0.196,0.223,0.25,1.719,0,0,,
349,9,90,37,90,37,90.37,331104,1182313,531020,1953,47,1.0196,0.3247,0.1686,0.061,0,0.088,0.086,0.198,0.433,1.074,0,Starred in MacGregor's data,
263,10,86,46,86,46,86.46,333438,1192811,570400,1957,39,0.5136,0.1704,0.0907,1.394,0.035,0.519,0.343,1.18,3.471,0.623,0,Has star in MacGregor data,
326,11,90,28,90,28,90.28,332904,1174604,600108,1960,34,0.3899,0.1005,0.0507,0.545,0,0.356,0,1.774,2.319,3.644,0,Question mark near opDDT,
323,12,90,28,90,28,90.28,332904,1174604,540400,1954,35,0.4671,0.1368,0.0687,0.613,0.07,0.517,0.202,0.78,2.182,1.321,0,,
264,13,86.7,35,87,35,87.35,334615,1183539,500000,1950,47,0.9756,0.3088,0.1704,0.061,0,0.271,0.064,0.408,0.804,0,0,,
277,14,86.7,35,87,35,87.35,334615,1183539,550300,1955,50,0.8241,0.3221,0.1436,0.889,0.066,0.35,0.247,0.879,2.431,0.477,0,,
272,15,86.7,35,87,35,87.35,334615,1183539,540907,1954,48,0.9807,0.3459,0.1797,0.07,0.03,0.036,0.051,0.581,0.768,0,0,,
240,16,85,40,85,40,85.4,333615,1185622,541000,1954,48,1.1561,0.3601,0.1881,0.153,0.022,0.046,0.067,0.178,0.466,0.198,0,,
339,17,90,30,90,30,90.3,332504,1175420,620829,1962,46,0.9582,0.2909,0.15,0.614,0.046,0.059,0.16,0.288,1.167,0.262,0,,
350,18,90,37,90,37,90.37,331104,1182313,531020,1953,27,0.162,0.0461,0.0145,0.147,0.02,0.117,0.098,0.263,0.645,0.256,0,,
235,19,85,40,85,40,85.4,333615,1185622,530507,1953,53,1.3806,0.5008,0.2515,0.14,0.164,0.21,0.46,0.676,1.65,1.303,0,,
294,20,86.7,45,87,45,87.45,332615,1191702,540106,1954,48,1.07,0.3484,0.1486,0.111,0.071,0.114,0.121,0.356,0.773,0.272,0,,
332,21,90,30,90,30,90.3,332504,1175420,530505,1953,50,1.2463,0.4373,0.2231,0.1,0.072,0.254,0.303,0.597,1.326,0.356,0,,
333,22,90,30,90,30,90.3,332504,1175420,530505,1953,55,1.5222,0.4824,0.245,0.11,0.07,0.275,0.228,0.721,1.404,0,0,,
320,23,90,28,90,28,90.28,332904,1174604,520612,1952,56,1.7394,0.5239,0.266,0.051,0.106,0.094,0.269,0.273,0.793,0.366,0,,
280,24,86.7,36,87,36,87.36,334415,1183947,560200,1956,42,0.6908,0.2229,0.1058,0.99,0.11,0.361,0.32,1.245,3.026,0.265,0,,
273,25,86.7,35,87,35,87.35,334615,1183539,541200,1954,48,0.7837,0.3126,0.1435,1.107,0.086,0.299,0.145,0.639,2.276,1.274,0,,
279,26,86.7,35,87,35,87.35,334615,1183539,611020,1961,29,0.2887,0.0898,0.04,2.227,0.138,0.379,0.467,1.489,4.7,0.662,0,,
239,27,85,40,85,40,85.4,335702,1191017,540200,1954,47,1.0906,0.341,0.1763,0.285,0.028,0.166,0.155,0.595,1.229,0.969,0,,
274,28,86.7,35,87,35,87.35,334615,1183539,550100,1955,46,0.8848,0.279,0.1436,1.062,0,1.116,0.37,0.908,2.34,9.935,0,Question mark near opDDT,
275,29,86.7,35,87,35,87.35,334615,1183539,550100,1955,46,0.8266,0.2603,0.1349,0.443,0,0.654,0.053,0.154,0.65,7.252,0,Question mark near opDDT,
289,30,86.7,40,87,40,87.4,333615,1185622,551100,1955,53,1.548,0.5418,0.2686,0.181,0.022,0.033,0.065,0.22,0.521,0.286,0,,
282,31,86.7,40,87,40,87.4,333615,1185622,500000,1950,56,1.6588,0.6012,0.2919,0.06,0.021,0.388,0.051,0.603,1.123,0.448,0,,
270,32,86.7,35,87,35,87.35,334615,1183539,540300,1954,36,0.434,0.1305,0.0613,0.594,0.074,0.095,0.197,0.433,1.393,0.779,0,,
271,33,86.7,35,87,35,87.35,334615,1183539,540300,1954,37,0.4252,0.1281,0.0567,0.39,0.067,0.196,0.145,0.492,1.29,0.621,0,,
353,34,90,37,90,37,90.37,331104,1182313,630201,1963,30,0.2793,0.0674,0.0331,0.24,0,0.041,0.02,0.203,0.504,0.208,0,,
285,35,86.7,40,87,40,87.4,333615,1185622,510531,1951,56,1.7792,0.6201,0.3262,0.057,0,0.489,0.075,0.6,1.221,1.472,0,,
319,36,90,28,90,28,90.28,332904,1174604,520509,1952,23,0.1113,0.0232,0.0057,0.035,0,0.252,0,0.131,0.166,3.724,0,Question mark near opDDT,
363,37,90,45,90,45,90.45,325504,1185607,520123,1952,31,0.2203,0.0566,0.0212,0.061,0,0.13,0,0.192,0.383,1.067,0,,
330,38,90,30,90,30,90.3,332504,1175420,520906,1952,28,0.1726,0.0439,0.0174,0.035,0.007,0.094,0.041,0.105,0.282,0.979,0,,
329,39,90,30,90,30,90.3,332504,1175420,520708,1952,25,0.1462,0.0269,0.0084,0.081,0.209,0.199,0.386,0.378,1.253,1.857,0,,
345,40,90,37,90,37,90.37,331104,1182313,511204,1951,31,0.2546,0.0786,0.0321,0,0,0,0.024,0.097,0.121,0.769,0,,
346,41,90,37,90,37,90.37,331104,1182313,520402,1952,34,0.3658,0.1028,0.0447,0.028,0.021,0.088,0.05,0.207,0.394,0,0,,
227,42,83.3,70,83,70,83.7,331749,1212844,571024,1957,30,0.2156,0.0558,0.0223,0.065,0,0,0,0,0.065,1.208,0,,
338,43,90,30,90,30,90.3,332504,1175420,560200,1956,37,0.4287,0.1354,0.0642,0.269,0.01,0.041,0.105,0.292,0.717,0.672,0,,
28,45,56.7,55,57,55,57.55,381801,1233715,600124,1960,37,0.3855,0.1209,0.0557,0.284,0.014,0.049,0.04,0.263,0.65,0.063,0,,
331,46,90,30,90,30,90.3,332504,1175420,530408,1953,32,0.2872,0.0909,0.0421,0.128,0.07,0.015,0.261,0.21,0.684,0,0,,
196,47,83.3,40,83,40,83.4,331749,1192416,551100,1955,33,0.3116,0.1016,0.051,1.127,0.106,0.109,0.161,0.808,2.311,0.427,0,,
278,48,86.7,35,87,35,87.35,334615,1183539,580200,1958,28,0.1563,0.0335,0.0078,0.52,0,0.01,0.045,0.164,0.739,1.096,0,,
286,49,86.7,40,87,40,87.4,333615,1185622,540500,1954,35,0.359,0.1298,0.0611,0.433,0.014,0.196,0.081,0.306,1.03,0,0,,
265,50,86.7,35,87,35,87.35,334615,1183539,510100,1951,28,0.16,0.0514,0.0169,0.041,0.004,0.19,0.028,0.387,0.65,2.527,0,,
283,51,86.7,40,87,40,87.4,333615,1185622,510414,1951,65,2.5643,0.9196,0.414,0.045,0.01,0.134,0.084,0.242,0.515,0.726,0,,
316,52,86.7,65,87,65,87.65,324615,1203921,640818,1964,71,3.7085,1.3349,0.6869,0.407,0,0.027,0.038,0.105,0.577,0.218,0,,
287,53,86.7,40,87,40,87.4,333615,1185622,550300,1955,58,1.509,0.4792,0.239,0.125,0.015,0.063,0.07,0.193,0.466,0.102,0,,
288,54,86.7,40,87,40,87.4,333615,1185622,551000,1955,48,0.9599,0.3222,0.1668,0.232,0.01,0.042,0.036,0.113,0.433,0.187,0,,
284,55,86.7,40,87,40,87.4,333615,1185622,510512,1951,62,2.4133,0.8367,0.4293,0.055,0,0.146,0.12,0.33,0.651,0.818,0,,
384,56,90,53,90,53,90.53,323904,1192856,660723,1966,55,1.4746,0.4256,0.2495,0.427,0,0.012,0.053,0.093,0.585,0.227,0,,
406,57,90,90,90,90,90.9,312504,1215924,611025,1961,46,0.8309,0.2722,0.1342,0.195,0,0.03,0.031,0.064,0.32,0.153,0,,
317,58,86.7,80,87,80,87.8,361615,1214041,591010,1959,24,0.0965,0.0179,0.0034,0.089,0,0.005,0.004,0.03,0.128,0.427,0,,
407,59,90,90,90,90,90.9,312504,1215924,660623,1966,18,0.0449,0.0051,0.0004,0.041,0,0.011,0.012,0.036,0.1,0.073,0,,
404,60,90,70,90,70,90.7,320504,1203819,641009,1964,22,0.0628,0.0112,0.0004,0.016,0,0.006,0.002,0.013,0.037,0.114,0,,
281,61,86.7,36,87,36,87.36,334415,1183947,570300,1957,28,0.2224,3.189,0.022,0.381,0,0.082,0.081,0.228,0.772,0,0,,
269,62,86.7,35,87,35,87.35,334615,1183539,530500,1953,19,0.0462,0.0101,0.0017,0.142,0.009,0.029,0.031,0.088,0.299,0.236,0,,
267,63,86.7,35,87,35,87.35,334615,1183539,520700,1952,21,0.0707,0.0125,0.0024,0.279,0.058,0.232,0.221,0.677,1.467,0.865,0,,
268,64,86.7,35,87,35,87.35,334615,1183539,520700,1952,19,0.0514,0.0069,0.0004,0.135,0.016,0.024,0.031,0.061,0.267,0.098,0,,
309,65,86.7,60,87,60,87.6,325615,1201850,531112,1953,34,0.3611,0.1175,0.0509,0,0,0,0,0,0,0.025,0,,
315,66,86.7,60,87,60,87.6,325615,1201850,571100,1957,34,0.3055,0.088,0.042,0.361,0.027,0.01,0.093,0.029,0.52,0,0,,
313,67,86.7,60,87,60,87.6,325615,1201850,560100,1956,36,0.4461,0.1292,0.0613,0.015,0.007,0.007,0.027,0.038,0.094,0,0,,
311,68,86.7,60,87,60,87.6,325615,1201850,551100,1955,34,0.3036,0.0875,0.0436,0.122,0,0,0,0.076,0.198,0.484,0,,
312,69,86.7,60,87,60,87.6,325615,1201850,551100,1955,30,0.2168,0.0632,0.028,0.057,0,0,0,0.074,0.131,0.704,0,,
304,70,86.7,55,87,55,87.55,330615,1195817,561000,1956,29,0.2679,0.0638,0.0276,0.35,0.016,0.056,0.114,0.223,0.759,0.11,0,,
295,71,86.7,45,87,45,87.45,332615,1191702,561208,1956,37,0.479,0.137,0.0667,0.196,0.006,0.033,0.067,0.225,0.527,0.165,0,,
292,72,86.7,45,87,45,87.45,332615,1191702,520210,1952,33,0.281,0.0841,0.0347,0.112,0.172,0.197,0.289,0.504,1.274,1.356,0,,
303,73,86.7,55,87,55,87.55,330615,1195817,540200,1954,36,0.2988,0.1236,0.0526,0.056,0,0.012,0.036,0.162,0.266,0.28,0,,
301,74,86.7,55,87,55,87.55,330615,1195817,530829,1953,41,0.6373,0.1973,0.0982,0.039,0.005,0.028,0.056,0.158,0.286,0.197,0,,
297,75,86.7,45,87,45,87.45,332615,1191702,570700,1957,18,0.0609,0.0076,0.0001,0.125,0,0.071,0.038,0.344,0.578,1.239,0,,
291,76,86.7,40,87,40,87.4,333615,1185622,570400,1957,58,1.8087,0.5847,0.2129,1.218,0.066,0.282,0.378,0.985,2.929,0,0,,
310,78,86.7,60,87,60,87.6,325615,1201850,541000,1954,58,1.9486,0.5883,0.3071,0.101,0,0,0.138,0.185,0.424,0.229,0,,
308,79,86.7,60,87,60,87.6,325615,1201850,530517,1953,60,2.236,0.7054,0.3823,0.05,0.038,0.044,0.065,0.177,0.336,0,0,,
314,80,86.7,60,87,60,87.6,325615,1201850,561000,1956,50,1.2957,0.4358,0.2298,0.147,0.117,0.265,0.345,1.025,1.899,0.61,0,,
306,81,86.7,60,87,60,87.6,325615,1201850,520600,1952,71,3.2683,1.0213,,,,,,,,,1,Sample lost,
307,82,86.7,60,87,60,87.6,325615,1201850,520600,1952,42,0.7541,0.2025,0.1064,0.026,0,0.036,0.038,0.1,0.2,0,0,,
296,83,86.7,45,87,45,87.45,332615,1191702,561208,1956,55,1.3425,0.4387,0.2018,0.216,0.07,0.055,0.084,0.322,0.747,0,0,,
293,84,86.7,45,87,45,87.45,332615,1191702,520210,1952,51,1.1797,0.3836,0.1789,0.168,0,0.024,0.058,0.182,0.432,0.231,0,,
302,85,86.7,55,87,55,87.55,330615,1195817,530829,1953,61,2.1074,0.7059,0.3682,0.054,0.022,0.149,0.062,0.252,0.539,0.192,0,,
300,86,86.7,55,87,55,87.55,330615,1195817,520600,1952,70,3.2943,1.0158,0.5098,0.046,0,0.051,0.01,0.142,0.249,0.273,0,,
299,87,86.7,47.5,87,47.5,87.475,332215,1192518,550900,1955,64,2.4992,0.8331,0.4315,0.423,0.028,0.143,0.098,0.341,1.033,0,0,,
395,88,90,60,90,60,90.6,322504,1195733,540519,1954,40,0.5196,0.1661,0.0614,0.054,0,0.01,0,0.066,0.13,0.334,0,,
385,89,90,55,90,55,90.55,323504,1193707,540200,1954,27,0.1904,0.0479,0.019,0.081,0,0.028,0,0.121,0.23,0.82,0,,
337,90,90,30,90,30,90.3,332504,1175420,550900,1955,46,1.0215,0.3166,0.1235,0.349,0,0.128,0.106,0.369,0.952,0,0,,
388,91,90,55,90,55,90.55,323504,1193707,550900,1955,20,0.0714,0.0091,0.0002,0.017,0,0.039,0,0.086,0.142,0.432,0,,
393,92,90,60,90,60,90.6,322504,1195733,530200,1953,24,0.1081,0.0208,0.0049,0.24,0,0.126,0,0.318,0.684,2.715,0,,
334,93,90,30,90,30,90.3,332504,1175420,550200,1955,51,1.2212,0.3758,0.1478,0.6,0.025,0.109,0.068,0.367,1.169,0,0,,
335,94,90,30,90,30,90.3,332504,1175420,550200,1955,35,0.415,0.1259,0.0658,0.483,0.012,0.147,0.15,0.731,1.523,0.231,0,,
336,95,90,30,90,30,90.3,332504,1175420,550200,1955,35,0.363,0.1162,0.1409,0.085,0.002,0.018,0.015,0.061,0.181,0.055,1,"There are paraentheses around lipid, and the percentage is nearly double average",
387,96,90,55,90,55,90.55,323504,1193707,540800,1954,19,0.0492,0.0063,0,0,0,0,0,0,0,0.411,0,,
386,97,90,55,90,55,90.55,323504,1193707,540300,1954,38,0.3973,0.1116,0.055,0.043,0,0.017,0.014,0.047,0.121,0.82,0,,
382,98,90,53,90,53,90.53,323904,1192856,530211,1953,35,0.4213,0.1164,0.0583,0.032,0,0,0.08,0.171,0.283,0.27,0,,
383,99,90,53,90,53,90.53,323904,1192856,530211,1953,43,0.7052,0.2144,0.0856,0.048,0.01,0.095,0.15,0.205,0.508,0.207,0,,
355,100,90,39,90,39,90.39,330704,1183127,500000,1950,53,1.456,0.435,0.2055,0.038,0.013,0.153,0.032,0.138,0.374,0,0,,
305,101,86.7,57.5,87,57.5,87.575,330115,1200833,551100,1955,33,0.3767,0.1084,0.0573,0.505,0.023,0.103,0.133,0.382,1.146,0.151,0,,
324,102,90,28,90,28,90.28,332904,1174604,570300,1957,35,0.1831,0.0976,0.0417,1.205,0.057,0.253,0.326,1.05,2.891,0,0,Previously dried out in vials,
325,103,90,28,90,28,90.28,332904,1174604,570300,1957,34,0.1601,0.0905,0.0358,0.917,0.033,0.189,0.189,0.65,1.978,0.191,0,Previously dried out in vials,
367,104,90,45,90,45,90.45,325504,1185607,570400,1957,29,0.2498,0.0738,0.0311,0.104,0,0.048,0.068,0.13,0.35,0.086,0,,
390,105,90,55,90,55,90.55,323504,1193707,570400,1957,40,0.5363,0.2324,0.1404,0.013,0,0.145,0,0.033,0.191,0.07,0,The 0.145 value has a ? by it. Consider excluding. ,
427,106,90,35,90,35,93.35,324353,1175425,550700,1955,17,0.0418,0.0078,0.0013,0.004,0,0,0,0.015,0.019,0,0,Lipid is 0.0013 in raw data sheets,
370,107,90,45,90,45,90.45,325504,1185607,600811,1960,24,0.0958,0.0111,0.0001,0.007,0,0.002,0.001,0.005,0.015,0.015,0,,
362,108,90,45,90,45,90.45,325504,1185607,500508,1950,33,0.221,0.096,0.036,0.018,0,0.057,0,0.034,0.109,0.405,0,Previously dried out in vials,
318,109,90,100,90,100,90.1,310504,1223943,510000,1951,21,0.0575,0.008,0.0006,0.009,0,0.02,0,0.024,0.053,0.435,0,,
366,110,90,45,90,45,90.45,325504,1185607,560100,1956,35,0.4222,0.1343,0.0697,0.107,0,0.072,0.073,0.102,0.354,0,0,,
397,111,90,60,90,60,90.6,322504,1195733,560700,1956,51,1.2204,0.3921,0.1348,,,,,,,,1,Sample lost,
398,112,90,60,90,60,90.6,322504,1195733,561200,1956,29,0.1961,0.0618,0.0279,0.051,0,0.011,0.007,0.18,0.249,0.625,0,,
322,113,90,28,90,28,90.28,332904,1174604,540114,1954,46,0.9483,0.3261,0.1161,0.112,0.012,0.036,0.043,0.258,0.461,0,0,,
351,114,90,37,90,37,90.37,331104,1182313,550600,1955,45,0.6176,0.2955,0.1203,0.258,0,0.018,0.028,0.39,0.694,0.871,0,Previously dried out in vials,
403,115,90,70,90,70,90.7,320504,1203819,551200,1955,40,0.587,,,0.075,0,0,0,0.157,0.232,0,0,,
401,116,90,70,90,70,90.7,320504,1203819,540113,1954,35,0.3688,0.1122,0.0543,0.021,0,0.006,0.008,0.049,0.084,0.156,0,,
402,117,90,70,90,70,90.7,320504,1203819,540113,1954,38,0.49,0.1648,0.0734,0.049,0,0.014,0.013,0.127,0.203,0.449,0,,
343,118,90,37,90,37,90.37,331104,1182313,510000,1951,31,0.3158,0.1069,0.0459,0.02,0,0.056,0.011,0.115,0.202,0.23,0,,
327,119,90,30,90,30,90.3,332504,1175420,510000,1951,21,0.0866,0.0176,0.0021,0.026,0,0,0,0.009,0.035,1.436,0,,
328,120,90,30,90,30,90.3,332504,1175420,510000,1951,14,0.0499,0.0058,0.0014,0.002,0,0,0,0.005,0.007,0.653,0,,
341,121,90,35,90,35,90.35,331504,1181458,530506,1953,32,0.2813,0.0834,0.0394,0.086,0.037,0.118,0.264,0.327,0.832,0.068,0,,
342,122,90,35,90,35,90.35,331504,1181458,530506,1953,36,0.3989,0.1389,0.0701,0.124,0.068,0.171,0.329,0.41,1.102,0.232,0,,
405,123,90,80,90,80,90.8,314504,1211856,530100,1953,28,0.1541,0.0407,0.0183,0.012,0.003,0.042,0.035,0.158,0.25,0.129,0,,
400,124,90,70,90,70,90.7,320504,1203819,521013,1952,23,0.1023,0.017,0.0036,0.104,0,0.039,0,0.155,0.298,2.111,0,,
394,125,90,60,90,60,90.6,322504,1195733,530408,1953,41,0.6383,,,0.127,0,0.065,0,0.161,0.353,0.28,0,Lipid not measured,
238,126,85,40,85,40,85.4,335702,1191017,530800,1953,25,0.1442,,,0.196,0,0.077,0.038,0.231,0.542,0.599,0,Lipid not measured,
237,127,85,40,85,40,85.4,335702,1191017,530717,1953,38,0.4963,,,0.082,0.016,0.054,0.073,0.202,0.427,0.071,0,Lipid not measured,
233,128,85,39,85,39,85.39,335902,1190608,530700,1953,22,0.104,,,0.354,0.034,0.125,0.088,0.43,1.031,0.576,0,Lipid not measured,
236,129,85,40,85,40,85.4,335702,1191017,530700,1953,20,0.0688,,,0.029,0,0.016,0.005,0.026,0.076,0.212,0,Lipid not measured,
374,133,90,53,90,53,90.53,323904,1192856,500206,1950,39,0.4556,0.1403,0.0705,0.06,0,0.127,0.012,0.232,0.431,0.18,0,,
375,134,90,53,90,53,90.53,323904,1192856,500206,1950,39,0.4625,0.1501,0.0736,0.054,0,0.088,0.009,0.154,0.305,0.4,0,,
399,135,90,65,90,65,90.65,321504,1201757,530606,1953,37,0.3772,0.1448,0.0678,0.061,0,0,0.017,0.122,0.2,0.882,0,,
356,136,90,40,90,40,90.4,330504,1183534,540300,1954,41,0.4797,0.1738,0.0853,0.131,0,0.055,0.063,0.257,0.506,0.131,0,,
357,137,90,40,90,40,90.4,330504,1183534,540300,1954,34,0.252,0.0086,0.0346,0.099,0,0.049,0.085,0.199,0.432,0.294,0,,
391,138,90,60,90,60,90.6,322504,1195733,521110,1952,43,0.6384,0.1989,0.1018,0.029,0,0.064,0.037,0.227,0.357,0.082,0,,
347,139,90,37,90,37,90.37,331104,1182313,520402,1952,37,0.4024,0.1326,0.0649,0.102,0.051,0.392,0.191,0.696,1.432,0,0,,
348,140,90,37,90,37,90.37,331104,1182313,520402,1952,41,0.55,0.2203,0.0994,0.073,0.039,0.188,0.149,0.321,0.77,0,0,,
224,141,83.3,65,83,65,83.65,332749,1210806,590612,1959,19,0.0611,0.0067,,0.014,0,0.004,0,0.022,0.04,0.126,0,,
231,142,83.3,80,83,80,83.8,325749,1220954,641006,1964,22,0.1006,0.0123,0.0009,0.009,0,0,0,0.003,0.012,0.077,0,,
232,143,83.3,90,83,90,83.9,323749,1225055,640717,1964,21,0.074,0.0131,0.0031,0.038,0,0.006,0,0.025,0.069,0.138,0,,
222,144,83.3,60,83,60,83.6,333749,1204725,660620,1966,17,0.0501,0.0071,,0.034,0,0.004,0.005,0.019,0.062,0.089,0,,
228,145,83.3,75,83,75,83.75,330749,1214921,590611,1959,41,0.534,0.1962,0.0852,0.025,0,0,0.002,0.022,0.049,0.166,0,,
194,146,82,60,82,60,82.6,334812,1205435,640617,1964,21,0.0791,0.012,0.0017,0.02,0,0.003,0.002,0.018,0.043,0.081,0,,
202,147,83.3,55,83,55,83.55,334749,1202641,500716,1950,41,0.6299,0.2012,0.0871,0.067,0,0.009,0,0.066,0.142,1.079,0,,
221,148,83.3,60,83,60,83.6,333749,1204725,571000,1957,22,0.1171,0.0231,0.005,0.039,0.002,0.055,0.029,0.248,0.373,0.208,0,,
220,149,83.3,60,83,60,83.6,333749,1204725,570300,1957,33,0.3044,0.0884,0.039,0.043,0.009,0.09,0.013,0.145,0.3,0.152,0,,
209,150,83.3,55,83,55,83.55,334749,1202641,580600,1958,19,0.0546,0.0062,0,0.011,0,0.006,0,0.02,0.037,0.088,0,,
396,151,90,60,90,60,90.6,322504,1195733,550700,1955,67,2.638,0.8946,0.4262,0.064,0,0.029,0.032,0.11,0.235,0,0,,
365,152,90,45,90,45,90.45,325504,1185607,531021,1953,59,2.0796,0.7899,0.4854,0.286,0,0.42,0.253,1.045,2.004,0,0,,
380,153,90,53,90,53,90.53,323904,1192856,520000,1952,69,3.279,1.1269,0.6056,0.104,0,0.096,0.184,0.508,0.892,0,0,,
364,154,90,45,90,45,90.45,325504,1185607,520809,1952,45,0.9511,0.3078,0.1549,0.149,0.135,0.289,0.444,0.969,1.986,0,0,,
392,155,90,60,90,60,90.6,322504,1195733,521110,1952,71,3.8177,1.2849,0.6639,0.033,0.016,0.069,0.038,0.183,0.339,0.064,0,,
369,156,90,45,90,45,90.45,325504,1185607,590723,1959,65,2.7056,0.7501,0.3447,0.222,0.008,0.067,0.087,0.173,0.557,0.073,0,,
371,157,90,45,90,45,90.45,325504,1185607,600811,1960,70,3.355,1.1677,0.6079,0.651,0,0.162,0.086,0.715,1.614,0,0,,
352,158,90,37,90,37,90.37,331104,1182313,560200,1956,61,1.6688,0.6553,0.3355,0.543,0.05,0.125,0.153,0.47,1.341,0,0,,
389,159,90,55,90,55,90.55,323504,1193707,550900,1955,64,2.474,0.8283,0.3948,0.077,0,0.012,0.03,0.066,0.185,0,0,,
354,160,90,37.5,90,37.5,90.375,331004,1182516,550900,1955,55,2.116,0.7265,0.3487,0.556,0.027,0.102,0.122,0.396,1.203,0.189,0,,
359,161,90,42.5,90,42.5,90.425,330004,1184551,550917,1955,65,2.5497,0.8911,0.44,0.168,0,0.104,0.112,0.248,0.632,0.175,0,,
360,162,90,42.5,90,42.5,90.425,330004,1184551,550917,1955,45,0.805,0.2735,0.1355,0.318,0,0.059,0.076,0.323,0.776,0.351,0,,
