Pool,Cruise,Station,Location,Year,24DDE,44DDE,24DDD,44DDD,24DDT,44DDT,44DDMU,ww.g,Lipid.g,% Lipid
2a,"JD, NH 1990","86.7 35, 86.7 40",dumpsite,1990,13.86,159.21,19.63,24.81,22.47,20.59,9.72,4.13,0.82,19.79
2b,"JD, NH 1991 - 1993 ","86.7 35, 86.7 39.5",dumpsite,1993,7.30,29.65,11.59,13.37,15.47,13.12,5.96,5.55,0.95,17.19
18,NH 1995,86.7 35,dumpsite,1995,4.97,53.05,1.39,2.47,3.07,4.00,-99.00,6.33,1.19,0.19
7,JD 2001,87.9 36.4 (net 3),dumpsite,2001,9.36,82.03,2.17,2.30,5.11,4.91,2.57,9.97,1.97,19.80
8,JD 2001,87.9 36.4 (net 4),dumpsite,2001,9.33,78.40,2.41,2.79,5.70,5.81,2.21,9.20,1.80,19.61
9,JD 2001,88.9 33.8,dumpsite,2001,6.55,77.26,2.64,3.92,6.89,8.46,2.70,7.36,1.37,18.66
10A,JD 2001,88.9 33.8 (net 4),dumpsite,2001,,,,,,,,5.08,0.92,0.18
10B,JD 2001,88.9 33.8 (net 4),dumpsite,2001,,,,,,,,3.38,0.63,0.19
11A,JD 2001,89.6 40.2 (net 4),dumpsite,2001,,,,,,,,5.93,1.17,0.20
11B,JD 2001,89.6 40.2 (net 4),dumpsite,2001,,,,,,,,5.57,1.24,0.22
12A,JD 2001,89.6 40.2 (net 4),dumpsite,2001,,,,,,,,4.16,0.80,0.19
12B,JD 2001,89.6 40.2 (net 4),dumpsite,2001,,,,,,,,6.20,1.30,0.21
13,JD 2001,89.6 40.2 (net 4),dumpsite,2001,4.89,6.98,4.11,3.98,4.17,-99.00,-99.00,6.29,1.14,0.18
14,JD2001,89.6 40.2 (net 5),dumpsite,2001,-99.00,13.38,1.51,1.66,1.33,2.15,-99.00,5.29,0.95,0.18
5,"OS, SH 2012-2013",90.35 86.7 35,dumpsite,2012,2.94,26.01,1.10,1.91,2.55,3.83,1.00,12.02,2.01,0.17
21,200207-NH-30-1,86.7 35,dumpsite,2002,8.52,76.63,-99.00,4.23,-99.00,2.17,5.18,5.06,0.93,0.18
19,200804-JD-47-1,83.3 70,offshore,2008,-99.00,27.51,-99.00,-99.00,-99.00,-99.00,-99.00,5.77,1.01,0.18
20,199808-SP-17-1,83.3 55.0,offshore,1998,6.10,74.18,-99.00,2.08,-99.00,-99.00,2.04,5.11,0.90,0.18
17,JD 1989,86.7 55,offshore,1989,4.31,56.61,2.05,19.05,14.04,46.88,-99.00,4.55,0.73,0.16
1,JD 1990,83.3 55,offshore,1991,4.53,36.38,6.81,8.06,7.05,7.06,3.24,9.54,1.70,17.86
3a,JD 2002,83.3 55,offshore,2002,10.28,24.27,6.71,7.43,6.78,7.60,7.36,5.10,0.84,16.44
6,NH 2002 - 2004,83.3 55,offshore,2004,10.63,45.83,16.03,14.86,21.33,25.39,27.04,6.13,0.74,12.09
3b,"NH, RR 2002 - 2003",83.3 55,offshore,2003,8.81,28.03,14.25,15.74,14.69,16.49,15.18,4.99,0.89,17.88
4,"SH, NH 2012 - 2013","86.7 55, 86.7 60",offshore,2013,20.71,27.20,16.39,18.34,17.61,19.94,17.51,8.35,0.77,9.26
15,SH 2016,86.7 55,offshore,2016,1.04,22.82,1.20,1.27,1.00,1.55,-99.00,5.77,1.04,0.18
22,199602-JD-2-1,93.3 28,nearshore,1996,7.69,64.50,-99.00,4.45,-99.00,4.87,4.73,4.68,0.78,0.17
24,198602-JD-39-1,82 46,nearshore,1986,13.23,170.68,-99.00,10.74,2.51,7.37,3.15,3.41,0.61,0.18
25,199403-JD-51-1,81.8 46.9,nearshore,1994,14.74,185.92,-99.00,6.73,-99.00,7.11,6.80,4.00,0.68,0.17
26,201004-MF-174-1,81.8 46.9,nearshore,2010,4.39,29.36,-99.00,-99.00,-99.00,-99.00,4.24,4.41,0.81,0.18
