Sample ID,Ala,Asx,Glu,Gly,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Val,TP_Glu_Phe,Multi TDF model,TP_Glx,TP_Ala,Microbial contribution %
SL1,26.6945,21.49425,26.42975,2.968,25.97725,24.851,,9.64775,5.887,27.6245,6.87875,-17.381,28.37175,3.972412281,,3.639078947,4.148770492,12.28536371
SL2,27.16475,22.88475,27.6105,4.5515,28.13125,26.10375,,10.49475,7.1075,28.33225,7.637,-15.62575,27.95375,3.965438596,,3.632105263,4.025778689,9.778814382
SL3,28.19375,22.76425,27.20825,3.706,27.74525,25.4465,,9.4365,7.043,27.73025,7.4895,-16.24875,27.8145,3.906184211,,3.572850877,4.205040984,15.03410095
SL4,26.98875,21.26425,26.654,3.412,27.5885,25.03975,,8.52175,5.92975,28.48525,7.1415,-17.01325,26.6475,4.004254386,,3.670921053,4.19,12.38851903
SL5,26.68,20.961,25.5275,4.9715,26.0695,23.7235,,9.19525,6.647,27.24675,7.6755,-14.8485,26.23125,3.680789474,,3.34745614,4.021803279,16.76728302
SL6,27.4735,22.366,26.9795,3.6205,28.829,25.94,,8.525,7.051,28.4765,7.655,-16.81,28.319,3.864649123,,3.531315789,4.085655738,13.5679554
SL7,26.868,21.9935,26.314,4.487,25.973,24.055,,8.9375,7.2805,27.902,7.9225,-15.089,26.882,3.707631579,,3.374298246,3.948770492,14.54812954
SL8,25.9465,21.6935,26.4835,4.2855,26.179,24.481,,9.1115,6.8885,27.4085,6.789,-15.1625,26.8375,3.806140351,,3.472807018,3.861967213,10.07673484
SL9,27.08133333,22.35666667,27.12533333,3.697,26.787,25.11166667,,8.986666667,6.227333333,28.208,7.298333333,-15.82233333,28.08566667,4.034736842,,3.701403509,4.156393443,10.94674843
SL10,26.6545,22.411,26.474,4.3375,25.742,24.3955,9.354,7.45,7.4115,27.686,7.2785,-15.372,27.242,3.712719298,,3.379385965,3.892295082,13.17754965
SL11,26.6255,21.264,25.9635,3.913,25.586,24.27,9.934,9.2625,6.7785,28.4105,6.682,-14.9105,26.765,3.734210526,,3.400877193,3.991311475,14.79298937
SL12,27.0465,21.844,26.507,3.1195,26.5415,24.1145,9.2845,8.2615,5.333,26.1115,7.195,-16.1865,27.0805,4.083157895,,3.749824561,4.297295082,12.73988661
SL13,26.137,21.11,25.705,5.809,23.3365,23.044,9.8705,,6.7745,26.6565,7.9845,-14.3195,25.6725,3.689561404,,3.35622807,3.911885246,14.2043322
SL14,25.691,20.8745,25.899,4.249,24.4105,23.235,6.915,,6.438,27.1315,6.7405,-16.095,26.1365,3.782631579,,3.449298246,3.893934426,11.41868691
SL15,26.888,22.363,27.301,4.966,26.797,25.7865,9.3425,9.335,6.3715,28.6915,7.933,-14.4185,28.4345,4.040263158,,3.706929825,4.101065574,9.610569305
SL16,27.6125,23.194,27.627,6.487,26.788,26.421,10.1175,8.2965,7.3505,29.619,7.8325,-13.5455,28.9065,3.925701754,,3.592368421,4.059344262,11.503726
SL17,27.5215,23.2445,27.271,4.9885,26.3285,26.0445,8.165,8.6955,7.563,28.1575,7.198,-14.504,27.7225,3.825964912,,3.492631579,4.009590164,12.893053
SL18,28.5325,23.198,28.465,5.0465,27.489,27.0765,9.7435,7.864,7.0205,29.2305,7.275,-14.378,28.841,4.130614035,,3.797280702,4.264262295,10.95105228
SL19,25.926,21.0005,25.9555,5.357,24.7215,24.0735,8.5205,8.657,7.0335,28.003,7.9535,-13.5575,25.859,3.688070175,,3.354736842,3.834836066,12.51941974
SL20,26.416,21.9185,26.583,4.039,25.958,25.454,8.522,8.3645,6.0655,26.803,7.026,-14.007,27.3425,3.967982456,,3.634649123,4.073852459,10.78103197
SL21,26.141,21.1835,26.015,3.3655,25.791,25.2005,7.9475,8.5915,6.8645,27.9785,7.331,-14.572,26.921,3.728157895,,3.394824561,3.897786885,12.9037923
SL22,26.074,23.039,27.568,5.9815,26.9615,26.181,10.956,11.835,7.341,28.493,8.937,-13.9705,28.68,3.917017544,,3.583684211,3.808688525,5.907658571
SL23,26.3405,22.878,27.2495,5.582,27.132,26.1115,10.2835,6.5635,6.344,27.9645,6.6695,-15.351,28.05,4.036052632,,3.702719298,4.015819672,7.79667414
SL24,25.4985,22.142,26.8985,4.528,26.353,25.7775,8.7495,8.058,6.446,27.725,7.037,-14.7665,28.045,3.956578947,,3.623245614,3.861065574,6.159438507
SL25,27.621,22.474,27.985,4.2555,27.662,26.5825,7.587,8.593,7.005,28.597,7.08,-16.328,28.558,4.049122807,,3.715789474,4.117377049,9.753480692
SL26,26.2685,22.3685,27.077,5.4765,26.7315,25.634,9.3315,10.743,7.0585,27.039,8.491,-16.1185,27.1235,3.880438596,,3.547105263,3.886885246,8.741703478
SL27,25.9745,23.268,27.974,5.6155,27.3605,27.0155,5.2435,7.927,7.7595,27.937,7.067,-16.1495,29.2895,3.914824561,,3.581491228,3.723770492,3.820838691
SL28,25.6845,22.492,27.096,4.83,26.808,26.3105,8.8005,8.1665,6.6635,28.1195,7.7595,-15.7535,28.2355,3.953070175,,3.619736842,3.855901639,6.124761971
SL29,27.476,23.531,28.0065,5.887,28.446,27.498,10.95,8.268,7.9695,29.749,8.1985,-15.0585,29.436,3.883684211,,3.550350877,3.935491803,9.786348069
SL30,27.098,24.0135,28.685,5.252,27.314,27.1925,10.8925,8.0075,7.739,29.334,8.438,-15.2275,29.106,4.043157895,,3.709824561,3.911311475,5.151390148
SL31,27.238,22.314,27.6155,2.6385,27.618,27.076,7.1415,8.8455,6.356,29.0605,6.0745,-15.8845,29.144,4.098157895,,3.764824561,4.160983607,9.520802834
SL32,26.4625,21.9065,27.209,3.7635,25.7125,25.561,9.641,6.973,6.2715,28.0905,6.7375,-15.081,27.3985,4.041666667,,3.708333333,4.047704918,8.384296572
SL33,26.366,21.8155,27.016,3.6435,25.8905,25.717,10.3695,7.547,7.0175,28.6315,7.7185,-15.222,27.1445,3.876929825,,3.543596491,3.909590164,9.361433229
SL34,27.407,22.474,27.547,4.103,27.269,26.7335,9.1825,9.698,6.1135,29.1035,7.5075,-15.741,27.999,4.128684211,,3.795350877,4.228442623,10.24234652
SL35,26.511,21.333,26.2415,4.517,25.253,25.0305,10.19,8.1175,5.9905,28.5165,8.18,-14.2825,26.657,3.92122807,,3.587894737,4.101721311,12.5270962
SL36,27.6955,21.5925,26.9585,4.013,26.976,26.242,10.7385,7.915,6.921,28.07,8.4435,-14.328,27.263,3.88377193,,3.550438596,4.143360656,14.31017255
SL37,27.2225,21.4945,26.473,4.9175,26.1165,25.2965,11.24,8.5305,6.633,27.652,6.796,-12.5345,26.8515,3.849122807,,3.515789474,4.113032787,14.52075255
SL38,26.3025,21.31,26.5815,4.791,26.3145,25.408,10.4245,7.907,6.678,27.757,7.7905,-13.5925,26.461,3.860263158,,3.526929825,3.954836066,10.81982246
SL39,28.1865,21.3335,27.005,5.649,27.3245,26.3735,9.994,8.1665,6.8135,27.6745,7.2455,-15.043,28.291,3.910789474,,3.57745614,4.24147541,15.65538416
SL40,27.395,22.1185,27.409,5.147,26.994,26.583,10.1275,7.458,7.2255,29.4005,8.265,-14.666,28.407,3.909385965,,3.576052632,4.044180328,11.57534181
SL41,26.742,22.087,26.8645,3.4105,26.3435,25.678,9.317,9.5455,6.0755,29.1905,7.9245,-14.768,27.5365,4.015614035,,3.682280702,4.125655738,10.74677734
SL42,26.49225,21.869,26.6775,4.6775,26.63375,25.699,10.155,8.2315,6.82875,29.24825,6.84325,-14.2565,27.3295,3.850657895,,3.517324561,3.961229508,11.20624154
SL43,25.681,21.8315,26.396,4.2295,26.727,25.9325,10.6535,8.006,6.5845,27.8935,7.703,-15.4815,27.346,3.844122807,,3.510789474,3.868278689,9.241557903
SL52,26.749,22.15,27.4485,4.497,27.577,26.744,9.563,7.4825,6.1455,28.109,8.0485,-15.7225,28.1625,4.105789474,,3.77245614,4.115327869,8.331577445
SL53,26.778,22.5375,27.3605,3.9215,28.596,27.6075,8.5855,8.4905,6.5975,28.6705,7.257,-16.7275,29.0625,4.011052632,,3.677719298,4.045983607,9.101972329
